Kjøper,Postnr.,Latitude,Longitude,cleaned_postal_code
BILSELGEREN AS,4636,58.1467,7.9956,4636
Vkn Auto AS,3048,59.7463,10.1072,3048
BRUMUNDDAL BILPLEIE OG BYGGESERVICE AS,2383,60.8809,10.9395,2383
KRISTO BIL AS,1555,59.489,10.6863,1555
INVEST AUTO AS,1664,59.2634,11.005,1664
FREDRIKSTAD BIL AS,1624,59.2282,10.9056,1624
FOLLO BILSENTER AS,1820,59.6865,11.2128,1820
AUTOTAL AS,7340,62.5943,9.6912,7340
FREDRIKSTAD AUTOSALG AS,1617,59.2344,10.9694,1617
NORSK AUTOSENTER AS,0675,59.9127,10.7461,0675
7 FJELL BIL VEST AS,5224,60.3182,5.3532,5224
GARDERMOEN BILSENTER AS,2072,60.252,11.1806,2072
CARMAX AUTO ZELON MOHAMMED SABER SABER,3414,59.7553,10.2565,3414
AANESTAD BIL AS,4365,58.6655,5.6379,4365
DTE - SYSTEMS AS,2827,60.7833,10.6333,2827
ÅLESUND BRUKTBIL AS,6010,62.4723,6.1549,6010
EVOAUTO AS,4639,58.1467,7.9956,4639
GARDERMOEN BILSENTER AS,2072,60.252,11.1806,2072
EVJEN BIL,3027,59.7539,10.1184,3027
NORDEN BIL AS,3048,59.7463,10.1072,3048
AK BILSENTER AS,2007,59.9752,11.0421,2007
A AUTO AS,1266,59.9127,10.7461,1266
BRAVO AUTO AS,4031,58.9701,5.7333,4031
N.S AUTO AS,1725,59.2784,11.0932,1725
EIKNES BIL AS,3550,60.5565,10.0877,3550
AQUA BIL AS,2625,61.1684,10.4048,2625
BILLAGERET AS,2323,60.8273,11.1324,2323
INNLANDET AUTO AS,2436,60.6712,11.8348,2436
LARISA AUTO AS,1710,59.295,11.099,1710
AK BILSENTER AS,2007,59.9752,11.0421,2007
AUTO VEST AS,5536,59.4138,5.268,5536
AUTO B AS,3055,59.764,10.015,3055
JENSEN BIL AS,7032,63.4305,10.3951,7032
CARMAX AUTO ZELON MOHAMMED SABER SABER,3414,59.7553,10.2565,3414
ARENDAL BILSENTER AS,4815,58.4887,8.84,4815
LØRENSKOG BIL HAMA,2010,59.9487,11.0225,2010
AASEN AUTO,2213,60.1905,11.9977,2213
